AOF260B,LEGEND,Midnight Champion [Beige],Artoffact Records,Metal,,628070626090,LPx2,26.00,2017
17147-0172-2,LIQUID BLOOM,Re.Generations,White Swan Records,New Age,,717147017227,CD,12.90,2017
17147-0183-2,LIQUID BLOOM,ReGen AtYyA Remixes,White Swan Records,New Age / Remixes,,717147018322,CD,12.90,2017
TCLR022,MACHINE WOMAN,When Lobster Comes Home,Ninja Tune / Technicolour,Electronic,,5054429118308,"12""",12.00,2017
IF017,MAUNO,Tuning,Idee Fixe,Rock-Pop,,623339203913,LP,17.56,2017
87834-0072-2,"MAUS, JOHN",Screen Memories,Domino / Ribbon Music,Rock-Pop,,887834007227,CD,13.75,2017
RBN072,"MAUS, JOHN",Screen Memories,Domino / Ribbon Music,Rock-Pop,,887834007210,LP,21.60,2017
23339-2026-2,"MCLEAN, STUART",Vinyl Cafe The Unreleased Stories,Vinyl Café / Jess Milton Productions,Comedy / Spoken word ,Canadian,623339202626,CDx4,19.50,2017
KLP267,MIRAH,Sundial,SD / K Records,Rock-Pop,,789856126729,"12"" EP",10.50,2017
K7285LP,MOTOR CITY DRUM ENSEMBLE / VARIOUS ARTISTS,DJ-Kicks: Motor City Drum Ensemble,!K7,Electronic,,730003728518,LPx2,24.00,2017
12957-3269-2,MOULLINEX,Hypersex,!K7 / Discotexas,House / Electronic,,4012957326924,CD,15.00,2017
DT069LP,MOULLINEX,Hypersex,!K7 / Discotexas,House / Electronic,,4012957326917,LPx2,23.00,2017
77078-6133-1,MYSTERY,Second Home,Unicorn Digital,Rock-Pop,,777078613318,CDx2,11.00,2017
77078-6134-3,MYSTERY,Second Home,Unicorn Digital,Rock-Pop,,777078613431,DVD,13.75,2017
14427-9038-2,"NESET, MARIUS FEAT. LOUEKE, LIONEL",Circle of Chimes,ACT,Jazz,,614427903822,CD,14.50,2017
AOF317,"NILS, THE ",Brave New Waves,Artoffact Records,Punk,Canadian,628070631711,LP,15.00,2017
AOF317G,"NILS, THE ",Brave New Waves [Green Vinyl],Artoffact Records,Punk,Canadian,628070631797,LP,17.00,2017
CST127,OFF WORLD,2,Constellation,Electronic  crossfile: Sandro Perri,CANADIAN,666561012717,LP,14.25,2017
ZEN12465,O'FLYNN,Pluto's Beating Heart / Eleven,Ninja Tune,Electronic,,5054429119480,"12""",12.00,2017
30003-3159-2,ORCHESTRE LES MANGELEPA,Last Band Standing,!K7 / Strut,World / Africa,,730003315923,CD,13.00,2017
STRUT159LP,ORCHESTRE LES MANGELEPA,Last Band Standing,!K7 / Strut,World / Africa,,730003315916,LP,21.00,2017
00064-9529-1,PALMBOMEN II,Memories of Cindy,!K7 / Beats In Space,Electronic,,700064952917,CDx2,14.20,2017
65570-9837-0,PAPERHAUS,Are These the Questions That We Need to Ask?,Redeye / Misra Records,Rock-Pop,,665570983704,CD,9.94,2017
MSR097,PAPERHAUS,Are These the Questions That We Need to Ask?,Redeye / Misra Records,Rock-Pop,,665570983643,LP,19.90,2017
34457-7876-2,PRAWN,Run,Redeye / Topshelf Records,Rock-Pop,,634457787629,CD,10.92,2017
TSR177,PRAWN,Run,Redeye / Topshelf Records,Rock-Pop,,634457787612,LP,18.91,2017
17147-0184-2,PREM JOSHUA,Breath of Voavah,White Swan Records,New Age,,717147018422,CD,12.90,2017
34457-4783-9,"PRINCIPATO, TOM & STEVE WOLF",The Long Way Home,Redeye / Powerhouse Records,Blues,,634457478398,CD,13.41,2017
16892-5115-4,PROFESSOR RHYTHM,Bafana Bafana,SD / Awesome Tapes From Africa,World / Africa,,616892511540,CD,10.00,2017
ATFA027,PROFESSOR RHYTHM,Bafana Bafana,SD / Awesome Tapes From Africa,World / Africa,,616892511441,LP,12.00,2017
60519-6833-6,RADIO SLAVE,Feel the Same,Redeye / Rekids,Electronic,,5060519683366,CD,12.96,2017
RS001,RADIO SLAVE,Feel the Same,Redeye / Rekids,Electronic,,5060519683359,LPx3,29.91,2017
54429-1196-4,"RAKEI, JORDAN",Wallflower,Ninja Tune,Soul / R&B,,5054429119640,CD,12.70,2017
