CHR77348,4010072773487,"FANTASIES OF JOSQUIN, THE","PREZ, JOSQUIN DES",LEWON; ENSEMBLE LEONES,CPH
777517-2,761203751723,PIANO WORKS: CHILDREN'S NOTEBO,"WEINBERG, MIECZYSLAW",ELISAVETA BLUMINA,CPO
777290-2,761203729029,CELLO CONCERTO OP. 74; VIOLA C,"SAYGUN, AHMED ADNAN",TSCHOPP; HUGH; BILKENT SYMPHONY ORCHESTRA; GRIFFITHS,CPO
CYP2618,5412217026189,SYMPHONY NO.4,"SHOSTAKOVICH, DMITRI",ORCHESTRE NATIONAL DE BELGIQUE; SIMONOV,CYP
2005674,880242056740,BLUE NOTE (BLURAY),HANCOCK; MONK; COLTRANE,BELDEN; BERENDT; BLAKEY; CARTER; COLTRANE; CRANSHAW; GORDON; GRIFFIN;,EUR
2010238,880242102386,GREAT PIANO CONCERTOS VOL. III,MOZART,RADIO-SINFONIEORCHESTER STUTTGART; DEUTSCHE KAMMERPHILHARMONIE,EUR
2012024,880242120243,EUROPAKONZERT 1995 FROM FLOREN,BEETHOVEN; PAGANININ; BLACHER;,BERLINER PHILHARMONIKER; MEHTA; CHANG,EUR
2012934,880242129345,EUROPAKONZERT 1998 (BLURAY),WAGNER; TCHAIKOVSKY; DEBUSSY;,SWEDISH RADIO CHOIR; ERIC ERICSON CHAMBER CHOIR; BERLINER PHILHARMONIK,EUR
2055648,880242556486,SYMPHONY NO.6,"MAHLER, GUSTAV","LUCERNE FESTIVAL ORCHESTRA; CLAUDIO ABBADO, CONDUCTOR",EUR
2055728,880242557285,LE SACRE DU PRINTEMPS,"STRAVINSKY, IGOR",DI PALMA; KIMURA; SCHOLZ; LEIPZIG BALLET; GEWANDHAUSORCHESTER LEIPZIG,EUR
2058878,880242588784,FAURE: REQUIEM,"FAURE, GABRIEL",REISS; GOERNE; PICARD; ORCHESTRE DE PARIS; BETTERIDGE; JÄRVI,EUR
2072328,880242723284,THE HAYDN QUARTETS,"MOZART, W.A.",HAGEN QUARTETT,EUR
3077938,899132000688,PIOTR ANDERSZEWSKI - UNQUIET T,BACH; BEETHOVEN; SCHUMANN; SZY,PIOTR ANDERSZEWSKI,EUR
FACD912,771028236411,WE CAPTURE THE FEELING,MARQUEZ; VALLEE; CACCINI; ALAR,JEAN-PASCAL HAMELIN YOUTH ORCHESTRA OF THE AMERICAS; MARC VALLÉE TRIO;,FID
GCD226,658592022629,GREAT MUSIC FROM THE COURT OF,VARIOUS,VARIOUS,GOM
98960,040888896029,MATTHÄUS PASSION 1746,"TELEMANN, GEORG PHILIPP",STOETZEL; LA STRAVAGANZA KOELN; COLLEGIUM VOCALE DES BACH-CHORES SIEGE,HAE
3078948,880242789488,ART OF CHOPIN - A FILM BY GERA,"CHOPIN, FREDERIC","OHLSSON, GARRICK; WIT; WARSAW PHILHARMONIC",IDL
3079128,880242791283,VERBIER FESTIVAL 2009: SUSAN G,BIZET; FRANCK; SAINT-SAENS; CH,GRAHAM; MARTINEAU,IDL
3079138,880242791382,VERBIER FESTIVAL 2009: YURI TE,"SHOSTAKOVICH, DMITRI",TEMIRKANOV; VERBIER FESTIVAL ORCHESTRA,IDL
0012442KAI,9120010280177,IN NOMINE,VARIOUS COMPOSERS,ENSEMBLE RECHERCHE,KAI
231787,885150317877,V 4: ENCYCLOPEDIA OF MUSIC COM,LOWENTHAL; ULLMANN; DAUBER; KA,LOTORO; MUCCITTO; APRILE; MATUSZEK,KZM
2L056SACD,845829000561,BELLEZZA CRUDEL,"VIVALDI, ANTONIO",TONE WIK; BAROKKANERNE,L2L
LRCD-1083,617145108326,SEVEN LAST WORDS OF CHRIST: LE,"TOURNEMIRE, CHARLES",MARTIN JEAN,LOF
MELCD1001692,4600317116928,JAZZ COMPOSITIONS,VAGIF MUSTAFA-ZADE,JAZZ ENSEMBLES,MEL
MELCD1001938,4600317019380,DANIIL SHAFRAN COLLECTION. CEL,VARIOUS,"DANIIL SHAFRAN, CELLO",MEL
MELCD1001110,4600317011100,WILHELM FURTWÄNGLER COLLECTION,"BEETHOVEN, BRUCKNER",W. FURTWÄNGLER; BERLINER PHIL,MEL
MELCD1001959,4600317119592,"RAYMONDA, A BALLET IN THREE AC","GLAZUNOV, ALEXANDER","O. USACHEV, TRUMPET, S. KALIN",MEL
MELCD1000996,4600317009961,IBERIA,"ALBENIZ, ISAAK","E. SYOMIN, PIANO",MEL
MELCD1002312,4600317023127,CONCERT RECORDINGS,CHOPIN; DEBUSSY; LISZT; MOZART,VLADIMIR SOFRONITSKY,MEL
MOB52142,044006521428,ASTRUD GILBERTO: DIVA,,,MOB
MOB455082,100177455082,45-CD/21-DVD STACKABLE HOLDER,,,MOB
MTC5022851,783027015928,ENCORE COLLECTION 4-PACK,RUTTER; WILBERG; BECK; PERRY;,MORMON TABERNACLE CHOIR; JESSOP,MTC
NA0127,9781843797173,DECLINE AND FALL OF THE ROMAN,EDWARD GIBBON,DAVID TIMSON,NA
NA0225,9781843799481,HISTORIES,HERODOTUS,DAVID TIMSON,NA
NA445612,9789626344569,THE LIFE AND WORKS OF CHOPIN,JEREMY SIEPMANN,JEREMY SIEPMANN,NA
