Guild,GMCD7148,795754714821,Caldara; Palestrina; Lotti,Crucifixus - Holy Week,Vasari Singers,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7149,795754714920,Hollins; Liddle; Widor; Wood; ,Daivd Liddle Plays,David Liddle,1,CD,1998,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7150,795754715026,Bartlet; Byrd; Campion,Quiet Conscience,Burrowes; Scott; Miller,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7151,795754715125,Howells; Joubert; Kodaly; Part,Peace In Our Time,"Choir of Lincoln College, Oxford; Chalmers",1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7152,795754715224,Brahms; Darke; Mendelssohn,Christmas Music St. Paul's,Choir of St. Paul's Cathedral; English Brass Ensemble; Dearnley,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7153,795754715323,"Kuhn, Max",Music by Max Kuhn,Vasari Singers; Haffner Wind Ensemble of London; Hacker; Dolenc; Fong,1,CD,1998,Chamber,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7154,795754715422,Liste; Anton,Music by Anton Liste,Waterhouse; Fong,1,CD,1998,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7155,795754715521,Finzi; Holst; Leighton; Schuman,Evening Watch,Queens' College Chapel Choir Cambridge; Weeks,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7156,795754715620,"Dupre, Marcel",V1: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7157,795754715729,"Dupre, Marcel",V2: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7158,795754715828,Bruckner; Dupre; Gorecki,Magnificat,"Choir of Lincoln College, Oxford; Nicholas",1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7159,795754715927,"Dupre, Marcel",V3: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7160,795754716023,Howells; Vaughan Williams,Wedding Hymns,"Choir of Queens' College, Cambridge; Cambridge University Brass Ensemble; Steynor",1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7161,795754716122,"Kodaly, Zoltan",Choral Works,Vasari Singers; Filsell,1,CD,1999,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7162,795754716221,"Dupre, Marcel",V4: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7163,795754716320,"Kayser, Philipp Christoph",Goethe Lieder Chamber Music,Howat; Lewis; Lee; Davies; Morley; Kay; Ceruti Quartet; Davislim; Fong; Zolinsky,1,CD,1999,Chamber,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7164,795754716429,"Dupre, Marcel",V5: Complete Organ Works,Jeremy Filsell,1,CD,1999,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
